round_epochs,loss,MSE,val_loss,val_MSE,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
300,0.01186094619333744,0.00039002709672786295,0.010024994611740112,0.0002221058530267328,32,0,300,256,128,adam
200,0.2251473367214203,0.09369085729122162,0.14302782714366913,0.049028217792510986,32,0.1,200,32,16,AdaDelta
200,0.022145608440041542,0.0009862607112154365,0.015107887797057629,0.0005247959052212536,32,0.1,200,32,16,adam
200,0.22625863552093506,0.09372156858444214,0.1454704999923706,0.04924114793539047,32,0.1,200,32,32,AdaDelta
200,0.021118948236107826,0.0011080430122092366,0.011038599535822868,0.00023040498490445316,32,0.1,200,32,32,adam
200,0.21996808052062988,0.08974091708660126,0.14049169421195984,0.046861059963703156,32,0.1,200,32,64,AdaDelta
200,0.019053172320127487,0.0008952388307079673,0.011499826796352863,0.0002888237650040537,32,0.1,200,32,64,adam
200,0.21948345005512238,0.08948209136724472,0.13991300761699677,0.046713657677173615,32,0.1,200,32,128,AdaDelta
200,0.020068880170583725,0.0009248697897419333,0.011273065581917763,0.00027541874442249537,32,0.1,200,32,128,adam
200,0.2221238613128662,0.09174468368291855,0.14095944166183472,0.04764677211642265,32,0.1,200,64,16,AdaDelta
200,0.021161150187253952,0.0010574690531939268,0.010269575752317905,0.00022221659310162067,32,0.1,200,64,16,adam
200,0.22356465458869934,0.0925789475440979,0.14240360260009766,0.04851139336824417,32,0.1,200,64,32,AdaDelta
200,0.021935373544692993,0.0012232044246047735,0.01059220265597105,0.00021312465833034366,32,0.1,200,64,32,adam
200,0.222265362739563,0.09075482189655304,0.14244934916496277,0.0474228635430336,32,0.1,200,64,64,AdaDelta
200,0.019828611984848976,0.0009535705903545022,0.008873151615262032,0.0001596999791217968,32,0.1,200,64,64,adam
200,0.2158149778842926,0.08715544641017914,0.13701970875263214,0.045453354716300964,32,0.1,200,64,128,AdaDelta
200,0.018724583089351654,0.0008499762043356895,0.010900153778493404,0.00019206231809221208,32,0.1,200,64,128,adam
200,0.22419536113739014,0.09224884957075119,0.14369609951972961,0.048385441303253174,32,0.1,200,128,16,AdaDelta
200,0.016647417098283768,0.0006536868750117719,0.009931668639183044,0.00017661023593973368,32,0.1,200,128,16,adam
200,0.21487455070018768,0.08687764406204224,0.1359127163887024,0.04497073218226433,32,0.1,200,128,32,AdaDelta
200,0.016792437061667442,0.0006575778825208545,0.00977999810129404,0.00017682199541013688,32,0.1,200,128,32,adam
200,0.21990910172462463,0.08923425525426865,0.14055508375167847,0.04666660353541374,32,0.1,200,128,64,AdaDelta
200,0.016735676676034927,0.0007842459017410874,0.008497938513755798,0.00014480402751360089,32,0.1,200,128,64,adam
200,0.21500620245933533,0.08607367426156998,0.13696393370628357,0.04490291327238083,32,0.1,200,128,128,AdaDelta
200,0.0162150077521801,0.0006719412631355226,0.010141138918697834,0.00021689952700398862,32,0.1,200,128,128,adam
200,0.21715803444385529,0.0872601717710495,0.13843107223510742,0.04550950229167938,32,0.1,200,256,16,AdaDelta
200,0.015616610646247864,0.0006079305894672871,0.009303935803472996,0.00017383971135132015,32,0.1,200,256,16,adam
200,0.21599240601062775,0.0864872932434082,0.13736215233802795,0.045048974454402924,32,0.1,200,256,32,AdaDelta
200,0.01581443101167679,0.0005978065310046077,0.00824768841266632,0.0001379644381813705,32,0.1,200,256,32,adam
200,0.20978954434394836,0.0835651084780693,0.1324530988931656,0.04327281937003136,32,0.1,200,256,64,AdaDelta
200,0.014023646712303162,0.00044806007645092905,0.00977020338177681,0.0001709229254629463,32,0.1,200,256,64,adam
200,0.21925215423107147,0.0896918922662735,0.1391482651233673,0.04671342298388481,32,0.1,200,256,128,AdaDelta
200,0.015395927242934704,0.0005876775830984116,0.010316688567399979,0.00019880897889379412,32,0.1,200,256,128,adam
300,0.22064022719860077,0.09026533365249634,0.1406334638595581,0.047121208161115646,32,0.1,300,32,16,AdaDelta
300,0.021246951073408127,0.0012143304338678718,0.009702473878860474,0.00015758520748931915,32,0.1,300,32,16,adam
300,0.21193595230579376,0.08388306200504303,0.13483114540576935,0.043620020151138306,32,0.1,300,32,32,AdaDelta
300,0.022862549871206284,0.0012407670728862286,0.0102285360917449,0.0001761491730576381,32,0.1,300,32,32,adam
300,0.21023747324943542,0.08378203213214874,0.13274379074573517,0.043482471257448196,32,0.1,300,32,64,AdaDelta
300,0.01968216337263584,0.0010946639813482761,0.010539294220507145,0.00017273981939069927,32,0.1,300,32,64,adam
300,0.2100626677274704,0.08446069061756134,0.13232344388961792,0.04381240904331207,32,0.1,300,32,128,AdaDelta
300,0.021962609142065048,0.0013028103858232498,0.011912895366549492,0.00022119203640613705,32,0.1,300,32,128,adam
300,0.2269008606672287,0.09416499733924866,0.14592371881008148,0.04952892288565636,32,0.1,300,64,16,AdaDelta
300,0.017764590680599213,0.000762482057325542,0.00903681106865406,0.00015170063124969602,32,0.1,300,64,16,adam
300,0.21157078444957733,0.085370272397995,0.1329747587442398,0.04420522227883339,32,0.1,300,64,32,AdaDelta
300,0.017028097063302994,0.0006182692013680935,0.008784055709838867,0.00014921331603545696,32,0.1,300,64,32,adam
300,0.20992350578308105,0.08453741669654846,0.13224118947982788,0.04385856166481972,32,0.1,300,64,64,AdaDelta
300,0.01600494422018528,0.0006414310773834586,0.009330131113529205,0.00015017153054941446,32,0.1,300,64,64,adam
300,0.21238383650779724,0.08684297651052475,0.13334791362285614,0.04502008110284805,32,0.1,300,64,128,AdaDelta
300,0.015235799364745617,0.0005476229125633836,0.008718883618712425,0.0001555091585032642,32,0.1,300,64,128,adam
300,0.22267286479473114,0.09223012626171112,0.14141158759593964,0.04801894351840019,32,0.1,300,128,16,AdaDelta
300,0.015461395494639874,0.000749311875551939,0.00839668232947588,0.00012863895972259343,32,0.1,300,128,16,adam
300,0.2012677937746048,0.07734968513250351,0.12729191780090332,0.03998197242617607,32,0.1,300,128,32,AdaDelta
300,0.016414126381278038,0.0007113375468179584,0.010403047315776348,0.0001895515451906249,32,0.1,300,128,32,adam
300,0.20770487189292908,0.08303926885128021,0.13063077628612518,0.042962487787008286,32,0.1,300,128,64,AdaDelta
300,0.016354933381080627,0.0008190899970941246,0.009398434311151505,0.00015114570851437747,32,0.1,300,128,64,adam
300,0.2090500146150589,0.08417318761348724,0.13112510740756989,0.043464284390211105,32,0.1,300,128,128,AdaDelta
300,0.015036409720778465,0.0006037756102159619,0.01054063718765974,0.00018947251373901963,32,0.1,300,128,128,adam
300,0.2167474925518036,0.08778900653123856,0.13761544227600098,0.04569725692272186,32,0.1,300,256,16,AdaDelta
300,0.014154577627778053,0.0004981803940609097,0.008735651150345802,0.00015748661826364696,32,0.1,300,256,16,adam
300,0.21266070008277893,0.0859493613243103,0.1340070217847824,0.044458262622356415,32,0.1,300,256,32,AdaDelta
300,0.014874808490276337,0.0005633989349007607,0.009570479393005371,0.0002025001886067912,32,0.1,300,256,32,adam
300,0.20743802189826965,0.0826265960931778,0.13038793206214905,0.04263382405042648,32,0.1,300,256,64,AdaDelta
300,0.01435095351189375,0.0005898250383324921,0.0094140088185668,0.0001643629075260833,32,0.1,300,256,64,adam
300,0.20229551196098328,0.0799332857131958,0.12637488543987274,0.04113065451383591,32,0.1,300,256,128,AdaDelta
300,0.0140321534126997,0.0005241108010523021,0.008968387730419636,0.00015562449698336422,32,0.1,300,256,128,adam
200,0.22988203167915344,0.09626837074756622,0.1481197029352188,0.05069674551486969,32,0.15,200,32,16,AdaDelta
200,0.024753432720899582,0.0011852175230160356,0.011251802556216717,0.0001970366429304704,32,0.15,200,32,16,adam
200,0.21994321048259735,0.08867527544498444,0.14143413305282593,0.04644478112459183,32,0.15,200,32,32,AdaDelta
200,0.02341419644653797,0.0011761641362681985,0.01304619200527668,0.00036142850876785815,32,0.15,200,32,32,adam
200,0.22018900513648987,0.08819006383419037,0.14259235560894012,0.0463138073682785,32,0.15,200,32,64,AdaDelta
200,0.021007047966122627,0.0009774189675226808,0.00985213927924633,0.00016558493371121585,32,0.15,200,32,64,adam
200,0.21728405356407166,0.08832727372646332,0.13768643140792847,0.04583541303873062,32,0.15,200,32,128,AdaDelta
200,0.021084841340780258,0.0009551492403261364,0.011503453366458416,0.00027230894193053246,32,0.15,200,32,128,adam
200,0.21732521057128906,0.08864226192235947,0.13747817277908325,0.046219728887081146,32,0.15,200,64,16,AdaDelta
200,0.02271105721592903,0.0012215441092848778,0.010823218151926994,0.0002487348101567477,32,0.15,200,64,16,adam
200,0.21958670020103455,0.08883468806743622,0.14064045250415802,0.046348460018634796,32,0.15,200,64,32,AdaDelta
200,0.018848728388547897,0.0008388335118070245,0.009911532513797283,0.00018475102842785418,32,0.15,200,64,32,adam
200,0.22111669182777405,0.09015491604804993,0.14141854643821716,0.04724855720996857,32,0.15,200,64,64,AdaDelta
200,0.020835179835557938,0.001232450595125556,0.010101216845214367,0.00019761311705224216,32,0.15,200,64,64,adam
200,0.22057375311851501,0.09032278507947922,0.14029212296009064,0.04708009958267212,32,0.15,200,64,128,AdaDelta
200,0.02207193709909916,0.0014148673508316278,0.010005959309637547,0.00018319911032449454,32,0.15,200,64,128,adam
200,0.2050240933895111,0.08124107122421265,0.12834985554218292,0.041780609637498856,32,0.15,200,128,16,AdaDelta
200,0.019901864230632782,0.00091412418987602,0.008976216427981853,0.00017101406410802156,32,0.15,200,128,16,adam
200,0.2195342779159546,0.08906861394643784,0.14003098011016846,0.04667806252837181,32,0.15,200,128,32,AdaDelta
200,0.01913461834192276,0.0008086547022685409,0.010924877598881721,0.0002464150602463633,32,0.15,200,128,32,adam
200,0.2166968286037445,0.08718429505825043,0.1377529352903366,0.0452737994492054,32,0.15,200,128,64,AdaDelta
200,0.018848486244678497,0.0007668600883334875,0.010893180966377258,0.0002384820400038734,32,0.15,200,128,64,adam
200,0.22129127383232117,0.09080656617879868,0.141024649143219,0.047527823597192764,32,0.15,200,128,128,AdaDelta
200,0.016938935965299606,0.0007169974269345403,0.009126253426074982,0.00015638847253285348,32,0.15,200,128,128,adam
200,0.2258341759443283,0.09373708069324493,0.14433065056800842,0.04908287152647972,32,0.15,200,256,16,AdaDelta
200,0.015307018533349037,0.0006168797262944281,0.008342115208506584,0.00014410717994906008,32,0.15,200,256,16,adam
200,0.2316015660762787,0.09700654447078705,0.1497897505760193,0.05103455111384392,32,0.15,200,256,32,AdaDelta
200,0.015920067206025124,0.0006068883812986314,0.009117940440773964,0.00016277929535135627,32,0.15,200,256,32,adam
200,0.22139516472816467,0.09161484986543655,0.14025653898715973,0.04762284457683563,32,0.15,200,256,64,AdaDelta
200,0.015798689797520638,0.0006228539859876037,0.008409769274294376,0.00013699482951778919,32,0.15,200,256,64,adam
200,0.21923629939556122,0.089287169277668,0.1394454687833786,0.04653302580118179,32,0.15,200,256,128,AdaDelta
200,0.01518197637051344,0.0005336805479601026,0.008825380355119705,0.0001495297037763521,32,0.15,200,256,128,adam
300,0.22304537892341614,0.09115634858608246,0.14353047311306,0.047750215977430344,32,0.15,300,32,16,AdaDelta
300,0.022512059658765793,0.0011846063425764441,0.010367663577198982,0.00017458549700677395,32,0.15,300,32,16,adam
300,0.212443545460701,0.08623252809047699,0.1335304230451584,0.04456953704357147,32,0.15,300,32,32,AdaDelta
300,0.01969803497195244,0.0009264791151508689,0.009424528107047081,0.00015533871192019433,32,0.15,300,32,32,adam
