round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
8,0.014808936975896358,0.10881587117910385,0.01500085648149252,0.1175042912364006,32,0.1,100,64,64,adam
100,0.09621848911046982,0.22621506452560425,0.05378701910376549,0.15264029800891876,32,0.1,100,64,128,AdaDelta
7,0.013649405911564827,0.10426131635904312,0.014640968292951584,0.11473861336708069,32,0.1,100,64,128,adam
100,0.09759019315242767,0.22631007432937622,0.054278843104839325,0.15161749720573425,32,0.1,100,128,64,AdaDelta
6,0.015877477824687958,0.11271091550588608,0.01726476289331913,0.12506167590618134,32,0.1,100,128,64,adam
100,0.09397287666797638,0.2225419133901596,0.05248243361711502,0.14955739676952362,32,0.1,100,128,128,AdaDelta
48,0.001079821027815342,0.022787442430853844,0.0010278524132445455,0.022216714918613434,32,0.1,100,128,128,adam
100,0.09246929734945297,0.2206270843744278,0.051639825105667114,0.1482669711112976,32,0.1,100,256,64,AdaDelta
5,0.01355704478919506,0.10510578751564026,0.014481041580438614,0.11111663281917572,32,0.1,100,256,64,adam
100,0.09206774085760117,0.21844515204429626,0.051230791956186295,0.14544330537319183,32,0.1,100,256,128,AdaDelta
5,0.016230404376983643,0.11610151827335358,0.01298072375357151,0.10701356828212738,32,0.1,100,256,128,adam
150,0.09403803944587708,0.22260530292987823,0.052664902061223984,0.14968173205852509,32,0.1,150,32,64,AdaDelta
9,0.014394519850611687,0.10494527965784073,0.014150893315672874,0.11467626690864563,32,0.1,150,32,64,adam
150,0.09398403018712997,0.22204110026359558,0.05240974575281143,0.1487477421760559,32,0.1,150,32,128,AdaDelta
7,0.01667257584631443,0.11356516927480698,0.01812608353793621,0.12928177416324615,32,0.1,150,32,128,adam
150,0.09176724404096603,0.2201371192932129,0.051521141082048416,0.14835023880004883,32,0.1,150,64,64,AdaDelta
8,0.014789286069571972,0.10865207761526108,0.015183720737695694,0.11821331083774567,32,0.1,150,64,64,adam
150,0.0942210778594017,0.22322922945022583,0.052631676197052,0.15021096169948578,32,0.1,150,64,128,AdaDelta
6,0.01681053638458252,0.11556018143892288,0.017931023612618446,0.12844455242156982,32,0.1,150,64,128,adam
150,0.0945095494389534,0.2240331768989563,0.0530097596347332,0.15101754665374756,32,0.1,150,128,64,AdaDelta
6,0.013259929604828358,0.10234124958515167,0.014925777912139893,0.11499208956956863,32,0.1,150,128,64,adam
150,0.09255688637495041,0.21898551285266876,0.05139824002981186,0.1457810401916504,32,0.1,150,128,128,AdaDelta
6,0.014676137827336788,0.10950074344873428,0.013012630864977837,0.10678558796644211,32,0.1,150,128,128,adam
150,0.09490057826042175,0.22394581139087677,0.05310061573982239,0.15059582889080048,32,0.1,150,256,64,AdaDelta
55,0.001137206912972033,0.023529771715402603,0.0010292805964127183,0.021891621872782707,32,0.1,150,256,64,adam
150,0.09396988153457642,0.22162896394729614,0.05243479460477829,0.14840301871299744,32,0.1,150,256,128,AdaDelta
5,0.016097424551844597,0.11498826742172241,0.015028526075184345,0.11459310352802277,32,0.1,150,256,128,adam
200,0.09489142894744873,0.22385215759277344,0.05311011150479317,0.15053895115852356,32,0.1,200,32,64,AdaDelta
9,0.01933419331908226,0.12235631793737411,0.01955302804708481,0.13294924795627594,32,0.1,200,32,64,adam
200,0.09125951677560806,0.21725666522979736,0.05077822506427765,0.1445939838886261,32,0.1,200,32,128,AdaDelta
7,0.014891771599650383,0.10989520698785782,0.016006913036108017,0.12171999365091324,32,0.1,200,32,128,adam
200,0.09370233118534088,0.2207929641008377,0.052180081605911255,0.14743545651435852,32,0.1,200,64,64,AdaDelta
7,0.014748855493962765,0.10573522746562958,0.015439057722687721,0.1193690299987793,32,0.1,200,64,64,adam
200,0.09286501258611679,0.21955248713493347,0.0516522191464901,0.1462065875530243,32,0.1,200,64,128,AdaDelta
7,0.015219718217849731,0.11178689450025558,0.014792836271226406,0.11619741469621658,32,0.1,200,64,128,adam
200,0.09646657854318619,0.2251628041267395,0.053818464279174805,0.15101920068264008,32,0.1,200,128,64,AdaDelta
7,0.015026415698230267,0.10975835472345352,0.01532443705946207,0.11800048500299454,32,0.1,200,128,64,adam
200,0.09158989042043686,0.2178477793931961,0.05102234706282616,0.1451222151517868,32,0.1,200,128,128,AdaDelta
39,0.0016167424619197845,0.028451113030314445,0.0014237860450521111,0.028880232945084572,32,0.1,200,128,128,adam
200,0.08933942019939423,0.21504893898963928,0.04971196502447128,0.1432410329580307,32,0.1,200,256,64,AdaDelta
59,0.0010726682376116514,0.02402517758309841,0.000888949609361589,0.02098669670522213,32,0.1,200,256,64,adam
200,0.09332557022571564,0.22060486674308777,0.051971886307001114,0.1474294811487198,32,0.1,200,256,128,AdaDelta
45,0.0010188600281253457,0.02177434414625168,0.0009016621042974293,0.020796356722712517,32,0.1,200,256,128,adam
50,0.09540083259344101,0.22570474445819855,0.05353508144617081,0.15285208821296692,32,0.15,50,32,64,AdaDelta
34,0.0026297138538211584,0.03638346493244171,0.002538856817409396,0.03499218821525574,32,0.15,50,32,64,adam
50,0.09516777843236923,0.22417765855789185,0.05318498611450195,0.15085141360759735,32,0.15,50,32,128,AdaDelta
7,0.015101487748324871,0.10837706923484802,0.017034824937582016,0.1258295327425003,32,0.15,50,32,128,adam
50,0.09638072550296783,0.2279854565858841,0.0542052760720253,0.1551670879125595,32,0.15,50,64,64,AdaDelta
8,0.015943851321935654,0.11145520210266113,0.0156359001994133,0.12044715881347656,32,0.15,50,64,64,adam
50,0.09329428523778915,0.2221708744764328,0.052174389362335205,0.14972825348377228,32,0.15,50,64,128,AdaDelta
7,0.014853543601930141,0.10902899503707886,0.014452364295721054,0.11515979468822479,32,0.15,50,64,128,adam
50,0.09858036041259766,0.23078632354736328,0.0554916076362133,0.1570582091808319,32,0.15,50,128,64,AdaDelta
7,0.013639362528920174,0.10612401366233826,0.012325191870331764,0.10480533540248871,32,0.15,50,128,64,adam
50,0.09697546809911728,0.2282932698726654,0.05447153002023697,0.15489618480205536,32,0.15,50,128,128,AdaDelta
5,0.014899492263793945,0.10867360979318619,0.01710081472992897,0.12310142815113068,32,0.15,50,128,128,adam
50,0.09557483345270157,0.22606901824474335,0.05349496752023697,0.15305301547050476,32,0.15,50,256,64,AdaDelta
5,0.013530252501368523,0.10447656363248825,0.015710515901446342,0.11604780703783035,32,0.15,50,256,64,adam
50,0.09429316967725754,0.2237498164176941,0.05272951349616051,0.15086252987384796,32,0.15,50,256,128,AdaDelta
5,0.015931004658341408,0.11516302824020386,0.013404262252151966,0.10790397226810455,32,0.15,50,256,128,adam
